company,position,connected_on
Scotiabank,Sub Gerente de Campañas Comerciales,2012-07-20
Procesos de Medios de Pago S.A.,Especialista en estrategias anti fraude,2012-07-12
PUCP,Jefe de Inscripciones y Admisión,2012-07-12
Enhacke,Director Ejecutivo,2012-07-10
EDPYME RAIZ,Analista de Riesgos Operacionales de Tecnologias de Información / Coordinador SGCN,2012-07-10
Microfinanzas NK Solutions,Gerente ,2012-07-10
Inteligo Group,Gerente de TI,2012-07-10
Adecco,Jefe de Selección y RPO ,2012-06-30
"Laureate Education, Inc.",Analista Senior de Cumplimiento TI,2012-06-30
SYNLAB_Peru,RDPO - Regional Data Proteccion Officer LATAM,2012-06-30
"Superintendencia de Banca, Seguros y AFP del Perú",Chief of Banking Supervision,2012-06-30
Jurado Nacional de Elecciones,FISCALIZADORA TÉCNICA,2012-06-30
Tribunal Administrativo de la Superintendencia Nacional de Servicios de Saneamiento (SUNASS),Jefe de equipo y Coordinadora de los Sistemas de Gestión,2012-06-30
Blum Studios,Business Development,2012-06-05
Pontificia Universidad Católica del Peru - PUCP,Coordinador General de la Red E-QUIPU,2012-06-05
Claro Perú,Corporate Major Account Consultant,2012-05-28
Autoridad Nacional de Servicio Civil - SERVIR,Lead Solutions Architect,2012-05-12
Canadian Western Bank,Senior PMO Analyst,2012-05-10
Pontificia Universidad Católica del Perú,Jefe de la Unidad de Transformación Digital,2012-05-04
"Superintendencia de Banca, Seguros y AFP del Perú",Intendente de Riesgos de Crédito,2012-05-03
"Gestión Empresarial, Ambiental y Tecnológica SAC",Analista de proyectos de innovación,2012-05-03
"Superintendencia de Banca, Seguros y AFP",Analista Principal de Valorización de Inversiones,2012-04-26
Glencore,Corporate Senior Mining Engineer,2012-04-26
Kyndryl,Delivery Manager (Banking Unit),2012-04-20
"Superintendencia de Banca, Seguros y AFP del Perú",Jefe de supervisión de Inversiones de Seguros ,2012-04-17
Universidad de Lima,Expositor |  Derivados Financieros | Riesgos Financieros,2012-04-17
Telefónica,Jefe de Marketing B2B – Segmento Negocios ,2012-04-16
Banco de Crédito BCP,Senior Project Manager IT,2012-04-16
Marsh & McLennan Companies,Consulting Solutions Peru Leader en Marsh Advisory,2012-04-11
TRANZACT,Project Manager,2012-04-09
TD,Vice President,2012-04-06
Deloitte,Senior Manager | Cyber Strategy & Privacy Transformation,2012-04-04
Hackmonkeys,Country Managing Director,2012-04-02
DXC Technology,Senior Test Lead,2012-04-01
GYM INGENIEROS,supervisor de seguridad,2012-03-30
BanBif - Banco Interamericano de Finanzas,Sub Gerente de Seguridad de Información y Ciberseguridad,2012-03-29
Grupo Gloria,Business Partner,2012-03-29
Pontificia Universidad Catolica del Peru,Data Center Professional,2012-03-28
CUMBRA Ingeniería,Supervisor de IIEE ,2012-03-28
RoMaX Technologies,Cybersecurity Consulting Manager,2012-03-27
Vorwerk Group,Center Leader VSES,2012-03-27
Compartamos Financiera,Jefe de Talento y Desarrollo Organizacional,2012-03-23
PwC Perú,Gerente de consultoría,2012-03-22
Pacífico Seguros,Data Architect,2012-03-22
Ministerio de Transportes y Comunicaciones,Especialista de Señalización y Automatización,2012-03-22
"Superintendencia de Banca, Seguros y AFP del Perú",Intendant of Reinsurance Supervision (e),2012-03-19
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Head of Supervision of Pension Funds Investments,2012-03-18
Agile fun!,Agile Coach & Scrum Trainer,2012-03-15
Dell Technologies,Software Principal Engineer,2012-03-14
X-TRiM Consulting,Founder - Consultor GRC,2012-02-29
MAPFRE PERÚ,Data Analytics Coordinator,2012-02-27
Zenyum,Senior Product Manager,2012-02-21
Clínica Internacional,Jefe de Seguridad de la Información,2012-02-20
Cortexperts,Co-Founder & Cyber Security Director,2012-02-20
Globant,Business Intelligence SME,2012-02-13
Amazon,WW Prime Pricing Lead,2012-02-13
Banco de Crédito BCP,Product Owner SME Analytics,2012-02-10
"Superintendencia de Banca, Seguros y AFP's",Analista de Microfinanzas,2012-02-09
Cabify,Operational Excellence Manager,2012-02-09
Pontificia Universidad Católica del Perú,Profesional Ingeniero,2012-02-09
Petroperú S.A.,Supervisor Seguridad de la Información,2012-02-02
Goldman Sachs,Vice President,2012-01-27
Banco de Crédito BCP,Gerente de Control de Riesgo de Modelo y Validacion Interna de Riesgos Financieros,2012-01-27
CAJA LOS ANDES,"Supervisor de Auditoria de TI, Procesos y Riesgos ",2012-01-27
Universidad del Pacifico,Docente,2012-01-27
Pontificia Universidad Católica del Perú,Professor,2012-01-26
"Amelia, an IPsoft Company",Cognitive Project Lead,2011-12-14
BCTS Consulting,ERP Senior Consultant,2011-11-23
"Ministerio de Vivienda, Construcción y Saneamiento","Jefe de equipo encargado de elaborar la ""Guía de Zonificación""",2011-11-19
Interbank,Jefe de Estrategia Comercial de Medios de Pago,2011-11-16
Moody's Local,Analyst,2011-11-16
Telefónica,Director de auditoría interna,2011-11-16
"Superintendencia de Banca, Seguros y AFP del Perú",Principal Supervisor of insurance companies,2011-11-15
Autónomo,Director,2011-11-12
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Riesgo Operacional,2011-10-14
Ericsson,Solutions Architect - 5G Core,2011-10-13
Interbank,Jefe de Planeamiento y Control de Gestión,2011-10-12
ManpowerGroup,Head of Center of Recruitment Excellence,2011-10-12
Choucair Testing S.A.,Analista de pruebas,2011-10-12
"Superintendency of Banks, Insurance companies and Pension Fund Administrators",Principal Supervisor of Pension Fund Administration,2011-10-11
AudiTrail S.A.C.,Director,2011-10-10
PricewaterhouseCoopers - PwC,Project Manager,2011-10-10
Universidad de Piura,Analista de Aplicaciones Administrativas,2011-09-22
"Superintendencia de Banca, Seguros y AFP del Perú",Supervisor de Banca,2011-09-22
Betsoffice SAC,Jefe de Data,2011-09-15
Telefónica Tech,Product Manager - Cyber Security & Cloud,2011-08-07
Telefónica,Proyectos Estratégicos,2011-08-04
Banco Falabella Perú,Sub Gerente de Auditoría de Sistemas ,2011-08-04
Compañía de Minas Buenaventura,Jefe de Recursos Humanos,2011-08-04
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú","Jefe de Supervision de la Superintendencia de Banca, Seguros y AFP",2011-08-04
INABIF,Especialista en Gestión Administrativa,2011-07-26
IEP THALES DE MILETO,DOCENTE,2011-07-11
Pontificia Universidad Católica del Perú,Sales Coordinator,2011-07-11
Amazon Web Services (AWS),Solutions Architect,2011-05-29
Cardiff University / Prifysgol Caerdydd,Lecturer,2011-05-14
UTP Universidad Tecnológica del Perú,Domain Tech Leader,2011-05-12
Pontificia Universidad Catolica del Peru,Profesor Asociado,2011-05-04
Red de Energía del Perú,Especialista de Soluciones de Software,2011-05-03
Credicorp Capital,VP de Estrategia Comercial,2011-04-26
Beta Gamma Sigma,Miembro,2011-03-23
Scotiabank,Audit Manager,2011-03-23
Banco de Crédito BCP,Chapter Lead of Analytical CRM,2011-03-23
M.M.A. Record S.A.,Coordinador de personal,2011-03-06
GM Conversiones,Director de marketing y desarrollo comercial,2011-02-28
DiscoveryFast,"Coach, Consultor en Agilidad y Scrum",2011-02-28
"eHealth, Inc.",Staff Marketing Developer,2011-02-28
McKinsey & Company,Digital Expert,2011-02-28
Pontificia Universidad Católica del Perú,Director de Carrera,2011-02-28
Orange,Operadora telefónica,2011-01-09
My Own Business,Independiente ,2011-01-09
Qbit S.A.,Peru Country Manager,2011-01-09
ESAN Graduate School Of Business,"Adjunct Faculty | University of Phoenix ESAN School of Business & Montgomery College, WashingtonDC",2010-12-30
Nuclio Digital School,Data Science Program Director Stream,2010-12-07
Big Data 4 Business,Big Data Engineer,2010-12-07
SparxWorks,Senior Backend Developer,2010-12-05
Pontificia Universidad Catolica del Peru,Profesor Principal del Departamento de Ingeniería,2010-12-05
Interbank,Analista de Información,2010-11-07
Microsoft,Microsoft Cloud for Retail & Microsoft Cloud for Manufacturing - Partner Lead,2010-10-18
NTT DATA Europe & Latam,Solution Project Leader,2010-09-28
TRANZACT,"Team Lead, System Configuration",2010-09-19
La Positiva Seguros,Product Owner,2010-09-19
Entel Perú,Supervisor de Ingeniería de Transmisión,2010-09-10
Coppel S.A. de C.V.,Chief Information Security Officer - CISO at Grupo Coppel,2010-09-06
Pontificia Universidad Catolica del Peru,Docente e Investigador,2010-08-30
Alicorp,Business Partner / BRM,2010-08-24
GORA SAC,SENIOR CONSULTANT,2010-08-24
Atlantic City Casino & Sports,Coordinador de Business Analytics,2010-08-24
Pontificia Universidad Católica del Perú,Jefe de Arquitectura Tecnológica y Prospección Tecnológica,2010-08-09
ITD Telecom,General Manager,2010-08-01
Oracle,Strategic Client Director,2010-07-26
Claro Perú,Gerente de Ecommerce,2010-07-21
Instituto Geofísico del Perú,Ingeniero electrónico,2010-06-27
Pontificia Universidad Católica del Peru - PUCP,Jefa de la Biblioteca de Ciencias Sociales,2010-04-21
IQprosoft,QA Lead,2010-02-20
Pontificia Universidad Católica del Perú,Coordinadora de Presupuestos y Finanzas en NOS,2010-02-16
Sunedu,Gestión Pública e Información Universitaria,2009-12-25
Pontificia Universidad Catolica del Peru,Docente,2009-12-21
YULCOM Technologies,Director International Business Development,2009-12-21
Corporación Grupo Romero,Cybersecurity Manager,2009-12-11
The Hospital for Sick Children,Senior Application Specialist - Peoplesoft,2009-12-10
AltCap,Loan Systems and Portfolio Manager,2009-12-09
MAGNAVOZ S.A.C.,Gerente de Tecnologías de la Información,2009-12-06
"iEduca: Certus, Toulouse Lautrec y UCAL",Jefe de Plataformas Educativas,2009-12-06
Organismo Supervisor de las Contrataciones del Estado,Arquitecto de soluciones,2009-12-06
