company,position,connected_on
"Superintendencia de Banca, Seguros y AFP del Perú",Analista de desarrollo de sistemas,2021-05-30
"Superintendencia de Banca, Seguros y Administradoras de Fondos de Pensiones del Perú",Senior Banking Supervisor,2021-05-30
"Superintendencia de Banca, Seguros y AFP del Perú",Credit Risk Supervisor I ,2021-05-30
Confluence IA,Founder,2021-05-25
OneTrust,Business Development Specialist,2021-05-24
Microsoft,AI Product Manager II,2021-05-21
Meta,"Reality Labs: Public Policy, Research",2021-05-17
Snowflake,Corporate Account Executive,2021-05-11
BBVA,QA Lead,2021-05-05
MIT Lincoln Laboratory,Lincoln Laboratory Fellow,2021-05-03
Universidad Científica del Sur,Profesor,2021-04-30
