company,position,connected_on,user
GSI Capital,Portfolio Manager at GSI Capital,2022-05-21,Camilo
Go Alpha Group,International Business Development Manager,2022-05-19,Camilo
GSI Capital,Partner,2022-05-19,Camilo
Frontal Trust S.A. Adm. Fondos de Inversión,Partner,2022-05-08,Camilo
C-Group Executive Search & Consulting,HEAD HUNTER,2022-05-04,Camilo
Banchile Inversiones,Practicante renta variable,2022-05-04,Camilo
Assetplan,Subgerente de Inversiones,2022-05-04,Camilo
Pontificia Universidad Católica de Chile,Software ERP for small growers.,2022-04-25,Camilo
Dechert LLP,Associate,2022-04-25,Camilo
Marsh S.A. Corredores de Seguros,"Practice Leader, Private Equity & M&A and Structured Finance Practices",2022-04-22,Camilo
ONCOMPETENCE,Fundador | Director General,2022-04-19,Camilo
Procter & Gamble,Key Account Manager Canal Tradicional,2022-04-19,Camilo
Red Mentores por Chile,Mentor,2022-04-19,Camilo
Empresas AquaChile,Subgerente Planificación y Control Producción,2022-04-09,Camilo
AFP Capital,Head of Private Markets,2022-04-06,Camilo
Taurus AGF,Gerente General - Socio,2022-04-01,Camilo
BLT Minibodegas,CEO,2022-04-01,Camilo
Maestra Inmobiliaria,Jefe Comercial Inversionistas,2022-03-25,Camilo
AndesCan,Infrastructure & Natural Resources Portfolio Manager ,2022-03-25,Camilo
Banchile Inversiones,Portfolio Manager Renta Fija Nacional,2022-03-24,Camilo
CBRE,"Managing Director, Capital Advisors Latin America",2022-03-24,Camilo
HMC CAPITAL,CEO - Gerente General at HMC AGF,2022-03-19,Camilo
RankiaPro,Investor Relations Manager Iberia & LATAM,2022-03-18,Camilo
Brookfield Asset Management,Vice President,2022-03-15,Camilo
Banchile Inversiones,Jefe de Transformación Digital,2022-03-10,Camilo
Acciona Capital Alternative Assets,Managing Partner,2022-03-08,Camilo
Xoom Capital,Board Member,2022-03-07,Camilo
ENAP,QA/QC Engineer,2022-03-05,Camilo
Watt's S.A.,Product Manager ,2022-03-04,Camilo
Spring Professional,"Manager IT, Digital & Fintech",2022-02-28,Camilo
RedCapital,Gerente General (Fundador),2022-02-24,Camilo
OneMarketer,Executive Board Member,2022-02-22,Camilo
Moray Energy Consulting,Managing Partner,2022-02-19,Camilo
Banchile Inversiones,Analista Direccionamiento Comercial,2022-02-18,Camilo
Samsung Electronics,Budget Analyst,2022-02-15,Camilo
Banchile Inversiones,Subgerente de Activos Reales,2022-02-15,Camilo
Banchile Inversiones,Analista de comunicaciones comerciales,2022-02-15,Camilo
Banco de Chile,Asesor de inversiones,2022-02-15,Camilo
Tucumann Engenharia e Empreendimentos,Board Member,2022-02-14,Camilo
Universidad Técnica Federico Santa María,Ayudante de Marketing ,2022-02-13,Camilo
Colliers,Broker división campos,2022-02-11,Camilo
JPMorgan Chase & Co.,Executive Director,2022-02-10,Camilo
Gestión Global,Country Manager,2022-02-09,Camilo
Banchile Inversiones,International Fixed Income Sales,2022-02-08,Camilo
Valcapital SpA,Asociado Senior,2022-02-08,Camilo
FIDEZ GROUP,Founder & CEO,2022-02-08,Camilo
Gesrenta,Director proyecto de renta inmobiliaria,2022-02-03,Camilo
Scholae APF,Responsable de formación,2022-02-03,Camilo
Banchile Inversiones,Analista de Activos Reales,2022-02-01,Camilo
Provida AFP,Portfolio Manager Latam Equities,2022-01-29,Camilo
Tenpo,Account-Managerin,2022-01-27,Camilo
PointOne Holdings,Director of Capital Markets Latam,2022-01-27,Camilo
Rubicon Capital Advisors,Managing Director,2022-01-26,Camilo
Homeland Investments,Board Member,2022-01-26,Camilo
AtZ Investment Partners Energy & Infra,Managing Director Energy and Infrastructure ,2022-01-26,Camilo
HMC CAPITAL,Subgerente Distribución Inversiones Alternativas,2022-01-22,Camilo
Banco Bci,Analista Seleccion de Activos,2022-01-19,Camilo
Q&C Energy,CEO,2022-01-19,Camilo
BOKATO,Chief Commercial Officer (CCO),2022-01-19,Camilo
CMR Falabella,"Project Finance, Planning and Development Senior Analyst",2022-01-19,Camilo
Banchile Inversiones,Subgerente Desarrollo de Personas,2022-01-18,Camilo
Compass Group Asset Management,Analista Senior Distribución Intermediarios,2022-01-18,Camilo
AFP Capital,Head of Private Equity Investments,2022-01-18,Camilo
BTG Pactual Chile Corredores de Bolsa,Board Member,2022-01-17,Camilo
Sundes Collection,Founder & CEO,2022-01-16,Camilo
Globalplanet,CEO,2022-01-11,Camilo
SAJOR,Managing Partner,2022-01-11,Camilo
Amicorp Fund Services,Regional Sales Head ,2022-01-11,Camilo
Chile Ventures,Head of Scouting,2022-01-06,Camilo
Santiago Finance Seminar,"Founding Partner, President",2022-01-05,Camilo
Andes Solar S.A.,Jefe área legal,2022-01-05,Camilo
Barros & Errázuriz,Partner,2022-01-05,Camilo
Larrain y Asociados Abogados,Lawyer,2022-01-05,Camilo
SummaPartners,Associate,2022-01-05,Camilo
Ministerio Público,Abogada,2022-01-05,Camilo
Forex Bank Latam,Business Developer Manager,2022-01-05,Camilo
Suroeste Land Development,Desarrollo de proyectos,2022-01-05,Camilo
GSI Capital,Chief Executive Officer,2022-01-05,Camilo
Bolsa de Productos,CEO,2021-12-28,Camilo
SimplePark,Board Member and Founder,2021-12-28,Camilo
Pontificia Universidad Católica de Chile,Assistant Professor,2021-12-27,Camilo
Clínica Cruz Nacional,CFO & Founder,2021-12-26,Camilo
Michael Page,Senior Consultant - Finance & Accounting | Banking & Insurance | Divisions en Michael Page,2021-12-23,Camilo
Amstel Financial Group,Investment Strategist,2021-12-23,Camilo
Penta Vida,"Chief Investment Officer, Real Estate",2021-12-22,Camilo
Banchile Inversiones,Jefe Unidad de Participes,2021-12-17,Camilo
Itaú Chile,Atracción de Talento | Talento Digital,2021-12-17,Camilo
Falabella,Product Owner,2021-12-17,Camilo
Banchile Inversiones,Analista de marketing,2021-12-16,Camilo
Morgan Stanley,Investment Banking Summer Associate,2021-12-13,Camilo
JPMorgan Chase & Co.,Investment Banking Summer Associate,2021-12-12,Camilo
STF Capital,Chief Economist,2021-12-11,Camilo
Alta Developers,VP of Planning & Business Development,2021-12-10,Camilo
LCH Invest, Executive Director ,2021-12-09,Camilo
Banchile Inversiones,Gerente de tesorería,2021-12-07,Camilo
Colbun S.A,Head of Energy Trading,2021-12-07,Camilo
Área Educación Escolar Jesuitas Chile,Coordinador Administradores Colegios Jesuitas,2021-12-07,Camilo
